,Ksl,U.0,U.1,U.2,Us.0,Us.1,Us.2,cellID,cellLevel,epsilon,k,nut,p,p_backup,rho,voidfraction,Volume,Cell.Type,t,dp
114,4251,-0.38696,-0.30873,0.96148,-0.084039,-0.12883,0.00392,3754.8,NA,NA,NA,NA,182.75,NA,1.21,0.67856,0.000019624,1,5.65,221.1275
115,6772.7,0.18065,-0.23337,1.0733,0.021534,0.02095,0.043101,3754.8,NA,NA,NA,NA,161.04,NA,1.21,0.585,0.000019624,1,5.7,194.8584
116,5839.1,0.17545,0.039059,0.97785,-0.042853,-0.063199,-0.06943,3754.8,NA,NA,NA,NA,99.473,NA,1.21,0.63789,0.000019624,1,5.75,120.36233
117,8675,0.21719,0.31491,1.1716,0.066798,0.054535,0.058812,3754.8,NA,NA,NA,NA,212.6,NA,1.21,0.53418,0.000019624,1,5.8,257.246
118,3665.2,-0.49222,0.25911,0.88976,0.04475,0.083057,-0.067457,3754.8,NA,NA,NA,NA,81.646,NA,1.21,0.70847,0.000019624,1,5.85,98.79166
119,9817.8,-0.30769,-0.12039,1.1795,-0.026029,0.06115,-0.0052535,3754.8,NA,NA,NA,NA,160.89,NA,1.21,0.50929,0.000019624,1,5.9,194.6769
120,4073.9,-0.2016,-0.50676,0.95384,-0.10917,-0.099401,0.025899,3754.8,NA,NA,NA,NA,159.85,NA,1.21,0.69142,0.000019624,1,5.95,193.4185
121,5853.5,0.20628,0.071846,0.95457,-0.043521,-0.048982,-0.076275,3754.8,NA,NA,NA,NA,103.75,NA,1.21,0.65007,0.000019624,1,6,125.5375
122,8611.1,0.47046,0.15358,1.1547,0.08722,0.017723,0.032869,3754.8,NA,NA,NA,NA,198.15,NA,1.21,0.53741,0.000019624,1,6.05,239.7615
123,3664.8,-0.025635,0.282,0.93453,0.10818,0.081911,-0.042824,3754.8,NA,NA,NA,NA,121.46,NA,1.21,0.70387,0.000019624,1,6.1,146.9666
124,7109.6,-0.21933,0.022795,1.0552,0.0062783,0.031836,-0.047063,3754.8,NA,NA,NA,NA,75.305,NA,1.21,0.59936,0.000019624,1,6.15,91.11905
125,4031.2,-0.013729,-0.01819,0.91925,-0.0026851,-0.0011878,-0.20296,3754.8,NA,NA,NA,NA,34.662,NA,1.21,0.7484,0.000019624,1,6.2,41.94102
126,7983.8,-0.33841,-0.23886,1.1327,-0.11578,-0.029755,0.045705,3754.8,NA,NA,NA,NA,217.23,NA,1.21,0.55221,0.000019624,1,6.25,262.8483
127,5697.3,-0.19446,-0.22236,1.0095,-0.11517,-0.067752,-0.036328,3754.8,NA,NA,NA,NA,102.29,NA,1.21,0.62325,0.000019624,1,6.3,123.7709
